date,name,lat,lon,address,NO2,O3,weather_date,temp_max,temp_min,precip_mm,cafe_rating,cafe_user_ratings_total,season,ndvi,nightlight,cafe_place_id,elevation_m,toilet_name,toilet_lat,toilet_lon,toilet_distance_m,geometry
2025-01-14,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",,0.12711372772893406,2025-01-14,2.2,-4.4,2.6,4.4,61.0,Winter,,24.899999618530273,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-01-15,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",7.021939534756676e-05,0.1366174053125397,2025-01-15,4.2,2.0,0.1,4.4,61.0,Winter,,24.899999618530273,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-01-16,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",6.639369477217561e-05,0.12425138744826313,2025-01-16,3.0,0.4,0.0,4.4,61.0,Winter,,24.899999618530273,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-01-17,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.00012541578104905245,0.12294998061369239,2025-01-17,1.2,-2.4,0.0,4.4,61.0,Winter,,24.899999618530273,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-01-18,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.00012265823077235545,0.13315442545737738,2025-01-18,-0.2,-3.7,0.0,4.4,61.0,Winter,,24.899999618530273,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-01-19,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.00012823889736328955,0.12938926358540956,2025-01-19,5.4,-4.0,0.0,4.4,61.0,Winter,,24.899999618530273,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-01-20,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.00017651535076899986,0.1303465760279365,2025-01-20,5.3,-1.8,0.0,4.4,61.0,Winter,,24.899999618530273,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-01-21,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.0003666954917889818,0.16032338404935617,2025-01-21,0.7,-2.9,0.0,4.4,61.0,Winter,,24.899999618530273,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-01-22,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",,0.14373129671789142,2025-01-22,3.9,-3.6,0.0,4.4,61.0,Winter,,24.899999618530273,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-01-23,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",0.00020963978825680398,0.1383927939504833,2025-01-23,3.7,-0.6,3.9,4.4,61.0,Winter,,24.899999618530273,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
2025-01-24,LAP COFFEE,52.479598,13.4377434,"Karl-Marx-Straße 101, 12043 Berlin, Germany",8.404089119095628e-05,0.1588544446007346,2025-01-24,7.1,0.4,1.5,4.4,61.0,Winter,,24.899999618530273,ChIJbd-SFeFPqEcRjv6IFtDEPL8,44.0,Öffentliche Toilette mit kostenlosen Pissoir,52.4989923,13.4430208,71.63990801724931,POINT (13.4377434 52.479598)
